"Recording_ID","Genus","Specific_epithet","Subspecies","English_name","Recordist","Country","Locality","Latitude","Longitude","Vocalization_type","Audio_file","License","Url","Quality","Time","Date"
"147484","Ortalis","vetula","","Plain Chachalaca","Paul Marvin","United States","Santa Ana National Wildlife Refuge, Texas","26.0737","-98.1442","song","//www.xeno-canto.org/147484/download","//creativecommons.org/licenses/by-nc-sa/3.0/","https://www.xeno-canto.org/147484","A","08:59","2012-04-12"
"147483","Ortalis","vetula","","Plain Chachalaca","Paul Marvin","United States","Santa Ana National Wildlife Refuge, Texas","26.0737","-98.1442","song","//www.xeno-canto.org/147483/download","//creativecommons.org/licenses/by-nc-sa/3.0/","https://www.xeno-canto.org/147483","A","08:52","2012-04-12"
"147481","Ortalis","vetula","","Plain Chachalaca","Paul Marvin","United States","Santa Ana National Wildlife Refuge, Texas","26.0737","-98.1442","call, song","//www.xeno-canto.org/147481/download","//creativecommons.org/licenses/by-nc-sa/3.0/","https://www.xeno-canto.org/147481","A","08:28","2012-04-12"
"147480","Ortalis","vetula","","Plain Chachalaca","Paul Marvin","United States","Santa Ana National Wildlife Refuge, Texas","26.0737","-98.1442","call, song","//www.xeno-canto.org/147480/download","//creativecommons.org/licenses/by-nc-sa/3.0/","https://www.xeno-canto.org/147480","A","08:22","2012-04-12"
"21960","Colinus","virginianus","","Northern Bobwhite","Chris Parrish","United States","Welder Wildlife Refuge, San Patricio County, Texas","28.1137","-97.4228","song","//www.xeno-canto.org/21960/download","//creativecommons.org/licenses/by-nc-nd/2.5/","https://www.xeno-canto.org/21960","A","19:11","2008-05-29"
"21648","Colinus","virginianus","","Northern Bobwhite","Chris Parrish","United States","Welder Wildlife Refuge, San Patricio County, Texas","28.1137","-97.4228","song","//www.xeno-canto.org/21648/download","//creativecommons.org/licenses/by-nc-nd/2.5/","https://www.xeno-canto.org/21648","A","20:28","2008-05-28"
"21647","Colinus","virginianus","","Northern Bobwhite","Chris Parrish","United States","Welder Wildlife Refuge, San Patricio County, Texas","28.1137","-97.4228","song","//www.xeno-canto.org/21647/download","//creativecommons.org/licenses/by-nc-nd/2.5/","https://www.xeno-canto.org/21647","A","20:21","2008-05-28"
"454672","Podilymbus","podiceps","","Pied-billed Grebe","Paul Marvin","United States","Lake Balmorhea, Reeves, Texas","30.9708","-103.7245","call, song","//www.xeno-canto.org/454672/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/454672","A","11:25","2017-12-20"
"1325","Parabuteo","unicinctus","","Harris's Hawk","Robin Carter","United States","Choke Canyon State Park, Texas","28.5028","-98.3056","song","//www.xeno-canto.org/1325/download","//creativecommons.org/licenses/by-nc-nd/2.5/","https://www.xeno-canto.org/1325","A","?","2001-12-25"
"24756","Rallus","elegans","","King Rail","Nathan Pieplow","United States","Anahuac National Wildlife Refuge, Texas","29.592565","-94.478302","'kek' song","//www.xeno-canto.org/24756/download","//creativecommons.org/licenses/by-nc-nd/2.5/","https://www.xeno-canto.org/24756","A","18:30","2008-03-24"
